fdate,fundname,return
2005-12-31,ADVANTUS SER REAL ESTATE,3.306281865015369
2006-03-31,ADVANTUS SER REAL ESTATE,12.674802033260093
2006-06-30,ADVANTUS SER REAL ESTATE,2.512816678863241
2006-12-31,ADVANTUS SER REAL ESTATE,17.839628484311117
1999-06-30,ADVR INN CIR FMC SELECT,6.385868609029186
1999-12-31,ADVR INN CIR FMC SELECT,131.10775210378964
2000-03-31,ADVR INN CIR FMC SELECT,0.02933908814113057
2000-06-30,ADVR INN CIR FMC SELECT,0.36157967462718715
2000-12-31,ADVR INN CIR FMC SELECT,18.45861257419671
2001-03-31,ADVR INN CIR FMC SELECT,-5.578016877889489
2001-06-30,ADVR INN CIR FMC SELECT,6.874764448976863
2001-12-31,ADVR INN CIR FMC SELECT,13.129128614712588
2002-03-31,ADVR INN CIR FMC SELECT,-5.877621826760047
2002-06-30,ADVR INN CIR FMC SELECT,-14.890510110953587
2002-12-31,ADVR INN CIR FMC SELECT,1.386148382004732
2003-03-31,ADVR INN CIR FMC SELECT,-71.961308136478
2003-06-30,ADVR INN CIR FMC SELECT,286.92213130113385
2003-12-31,ADVR INN CIR FMC SELECT,11.299378497913475
2004-03-31,ADVR INN CIR FMC SELECT,3.3553771502132483
2004-06-30,ADVR INN CIR FMC SELECT,-8.812448914664477
2004-12-31,ADVR INN CIR FMC SELECT,3.364175846234916
2005-03-31,ADVR INN CIR FMC SELECT,-4.380405687340185
2005-06-30,ADVR INN CIR FMC SELECT,-33.42072830166035
2005-12-31,ADVR INN CIR FMC SELECT,52.51355398716014
2006-03-31,ADVR INN CIR FMC SELECT,2.233689584615209
2006-06-30,ADVR INN CIR FMC SELECT,-1.9855589381596463
2006-12-31,ADVR INN CIR FMC SELECT,19.751085176926562
2000-03-31,ADVR INN CIR FMC STRAT V,2.8567367822626517
2000-12-31,ADVR INN CIR FMC STRAT V,22.754978275221465
2001-03-31,ADVR INN CIR FMC STRAT V,4.890533831146465
2001-06-30,ADVR INN CIR FMC STRAT V,2.037972689711982
2001-12-31,ADVR INN CIR FMC STRAT V,0.12802728945933967
2002-03-31,ADVR INN CIR FMC STRAT V,4.651833160656409
2002-06-30,ADVR INN CIR FMC STRAT V,-6.566046257786487
2002-12-31,ADVR INN CIR FMC STRAT V,-13.732781344769737
2003-03-31,ADVR INN CIR FMC STRAT V,-6.399002428739596
2003-06-30,ADVR INN CIR FMC STRAT V,11.865812108360538
2003-12-31,ADVR INN CIR FMC STRAT V,13.462322477848316
2004-03-31,ADVR INN CIR FMC STRAT V,3.966464451244599
2004-06-30,ADVR INN CIR FMC STRAT V,1.3717457721933068
2004-12-31,ADVR INN CIR FMC STRAT V,6.04702565352083
2005-03-31,ADVR INN CIR FMC STRAT V,-3.0862019447749636
2005-06-30,ADVR INN CIR FMC STRAT V,-3.7961961148305337
2005-12-31,ADVR INN CIR FMC STRAT V,-1.5989459371413488
2006-03-31,ADVR INN CIR FMC STRAT V,11.533809223640027
2006-06-30,ADVR INN CIR FMC STRAT V,3.5837903065666845
2006-12-31,ADVR INN CIR FMC STRAT V,3.335965564226432
2000-03-31,ADVR INN CIR HGK EQ VALU,-2.5432317811270826
2000-12-31,ADVR INN CIR HGK EQ VALU,4.567844325611034
2001-03-31,ADVR INN CIR HGK EQ VALU,-5.7334248857573655
2001-06-30,ADVR INN CIR HGK EQ VALU,-3.627479418424012
2001-12-31,ADVR INN CIR HGK EQ VALU,-0.6864645524799065
2002-03-31,ADVR INN CIR HGK EQ VALU,4.624024733639724
2002-06-30,ADVR INN CIR HGK EQ VALU,-11.519968685952067
2002-12-31,ADVR INN CIR HGK EQ VALU,-19.472708162512873
2003-03-31,ADVR INN CIR HGK EQ VALU,-1.02666049568704
2003-06-30,ADVR INN CIR HGK EQ VALU,23.370378330994313
2003-12-31,ADVR INN CIR HGK EQ VALU,19.80174357432737
2004-03-31,ADVR INN CIR HGK EQ VALU,-0.3389680437661702
2004-06-30,ADVR INN CIR HGK EQ VALU,0.571454263426491
2004-12-31,ADVR INN CIR HGK EQ VALU,1.604928337043891
2005-03-31,ADVR INN CIR HGK EQ VALU,5.1888797899349335
